[2019-10-29 14:51:37] | INFO [django.server:154] | "GET /merlinservices/mediums/ HTTP/1.1" 200 3319
[2019-10-29 14:51:38] | INFO [django.server:154] | "GET /merlinservices/filters/ HTTP/1.1" 200 1640
[2019-10-29 14:51:39] | INFO [django.server:154] | "GET /merlinservices/preservations/ HTTP/1.1" 200 260
[2019-10-29 14:51:40] | INFO [django.server:154] | "GET /merlinservices/isotopeflags/ HTTP/1.1" 200 393
[2019-10-29 14:51:41] | INFO [django.server:154] | "GET /merlin/samples_search/ HTTP/1.1" 200 303329
[2019-10-29 14:51:41] | INFO [django.server:154] | "GET /static/css/bootstrap.min.css HTTP/1.1" 200 121265
[2019-10-29 14:51:41] | INFO [django.server:154] | "GET /static/css/bootstrap-theme.min.css HTTP/1.1" 200 23414
[2019-10-29 14:51:41] | INFO [django.server:154] | "GET /static/css/dashboard.css HTTP/1.1" 200 1629
[2019-10-29 14:51:41] | INFO [django.server:154] | "GET /static/css/simple-sidebar.css HTTP/1.1" 200 2275
[2019-10-29 14:51:41] | INFO [django.server:154] | "GET /static/css/handsontable.full.css HTTP/1.1" 200 33634
[2019-10-29 14:51:41] | INFO [django.server:154] | "GET /static/css/jquery-ui.min.css HTTP/1.1" 200 20217
[2019-10-29 14:51:41] | INFO [django.server:154] | "GET /static/css/pikaday.css HTTP/1.1" 200 4482
[2019-10-29 14:51:41] | INFO [django.server:154] | "GET /static/css/select2.css HTTP/1.1" 200 19915
[2019-10-29 14:51:41] | INFO [django.server:154] | "GET /static/css/merlin.css HTTP/1.1" 200 852
[2019-10-29 14:51:41] | INFO [django.server:154] | "GET /static/js/jquery-2.2.4.min.js HTTP/1.1" 200 85582
[2019-10-29 14:51:41] | INFO [django.server:154] | "GET /static/js/jquery-ui.min.js HTTP/1.1" 200 78165
[2019-10-29 14:51:41] | INFO [django.server:154] | "GET /static/js/jquery.cookie.js HTTP/1.1" 200 3238
[2019-10-29 14:51:41] | INFO [django.server:154] | "GET /static/js/bootstrap.min.js HTTP/1.1" 200 36874
[2019-10-29 14:51:41] | INFO [django.server:154] | "GET /static/js/handsontable.full.js HTTP/1.1" 200 1801312
[2019-10-29 14:51:41] | INFO [django.server:154] | "GET /static/js/select2.min.js HTTP/1.1" 200 70164
[2019-10-29 14:51:41] | INFO [django.server:154] | "GET /static/js/pikaday.js HTTP/1.1" 200 39874
[2019-10-29 14:51:41] | INFO [django.server:154] | "GET /static/js/merlin.js HTTP/1.1" 200 8749
[2019-10-29 14:51:41] | INFO [django.server:154] | "GET /static/js/moment.js HTTP/1.1" 200 136078
[2019-10-29 14:51:41] | WARNING [django.server:154] | "GET /static/css/bootstrap.min.css.map HTTP/1.1" 404 1699
[2019-10-29 14:51:41] | WARNING [django.server:154] | "GET /static/css/bootstrap-theme.min.css.map HTTP/1.1" 404 1717
[2019-10-29 14:51:41] | INFO [django.server:154] | "GET /static/img/loading.gif HTTP/1.1" 200 1915
[2019-10-29 14:51:41] | INFO [django.server:154] | "GET /static/fonts/glyphicons-halflings-regular.woff2 HTTP/1.1" 200 18028
[2019-10-29 14:51:41] | INFO [django.server:154] | "GET /static/img/favicon.ico HTTP/1.1" 200 18850
